date,week,site,rep,plant,flower_count,gs_ab,gs_ad
2/25/2025,1,A,1,#1,2,,
2/25/2025,1,A,2,#2,1,,
2/25/2025,1,A,3,#3,1,,
3/4/2025,2,A,1,#1,3,,
3/4/2025,2,A,2,#2,1,,
3/4/2025,2,A,3,#3,1,,
3/4/2025,2,A,4,#4,1,,
3/4/2025,2,A,5,#5,1,,
3/4/2025,2,A,6,#6,1,,
3/4/2025,2,A,7,#7,1,,
3/4/2025,2,A,8,#8,1,,
3/4/2025,2,A,9,#9,1,,
3/4/2025,2,A,10,#10,1,,
3/4/2025,2,A,11,#11,1,,
3/4/2025,2,A,12,#12,1,,
3/11/2025,3,A,1,#1,1,,
3/11/2025,3,A,2,#2,4,,
3/11/2025,3,A,3,#3,2,,
3/11/2025,3,A,4,#4,1,,
3/11/2025,3,A,5,#5,1,,
3/11/2025,3,A,6,#6,1,,
3/11/2025,3,A,7,#7,0,,
3/11/2025,3,A,8,#8,0,,
3/11/2025,3,A,9,#9,1,,
3/11/2025,3,A,10,#10,1,,
3/11/2025,3,A,11,#11,1,,
3/11/2025,3,A,12,#12,1,,
3/11/2025,3,A,13,#13,1,,
3/11/2025,3,A,14,#14,1,,
3/11/2025,3,A,15,#15,1,,
3/11/2025,3,A,16,#16,1,,
3/18/2025,4,A,1,#1,5,,
3/18/2025,4,A,2,#2,4,,
3/18/2025,4,A,3,#3,5,,
3/18/2025,4,A,4,#4,2,,
3/18/2025,4,A,5,#5,1,,
3/18/2025,4,A,6,#6,2,,
3/18/2025,4,A,7,#7,1,,
3/18/2025,4,A,8,#8,1,,
3/18/2025,4,A,9,#9,1,,
3/18/2025,4,A,10,#10,2,,
3/18/2025,4,A,11,#11,0,,
3/18/2025,4,A,12,#12,2,,
3/18/2025,4,A,13,#13,0,,
3/18/2025,4,A,14,#14,0,,
3/18/2025,4,A,15,#15,0,,
3/18/2025,4,A,16,#16,2,,
3/18/2025,4,A,17,#17,1,,
3/18/2025,4,A,18,#18,1,,
3/18/2025,4,A,19,#19,1,,
3/18/2025,4,A,20,#20,1,,
3/25/2025,5,A,1,#1,13,,
3/25/2025,5,A,2,#2,2,,
3/25/2025,5,A,3,#3,8,,
3/25/2025,5,A,4,#4,1,,
3/25/2025,5,A,5,#5,1,,
3/25/2025,5,A,6,#6,2,,
3/25/2025,5,A,7,#7,0,,
3/25/2025,5,A,8,#8,0,,
3/25/2025,5,A,9,#9,2,,
3/25/2025,5,A,10,#10,0,,
3/25/2025,5,A,11,#11,0,,
3/25/2025,5,A,12,#12,4,,
3/25/2025,5,A,13,#13,1,,
3/25/2025,5,A,14,#14,0,,
3/25/2025,5,A,15,#15,0,,
3/25/2025,5,A,16,#16,2,,
3/25/2025,5,A,17,#17,3,,
3/25/2025,5,A,18,#18,0,,
3/25/2025,5,A,19,#19,2,,
3/25/2025,5,A,20,#20,1,,
4/3/2025,6,A,1,#1,20,,
4/3/2025,6,A,2,#2,2,,
4/3/2025,6,A,3,#3,16,,
4/3/2025,6,A,4,#4,4,,
4/3/2025,6,A,5,#5,0,,
4/3/2025,6,A,6,#6,1,,
4/3/2025,6,A,7,#7,0,,
4/3/2025,6,A,8,#8,0,,
4/3/2025,6,A,9,#9,1,,
4/3/2025,6,A,10,#10,0,,
4/3/2025,6,A,11,#11,0,,
4/3/2025,6,A,12,#12,1,,
4/3/2025,6,A,13,#13,0,,
4/3/2025,6,A,14,#14,0,,
4/3/2025,6,A,15,#15,0,,
4/3/2025,6,A,16,#16,3,,
4/3/2025,6,A,17,#17,8,,
4/3/2025,6,A,18,#18,1,,
4/3/2025,6,A,19,#19,0,,
4/3/2025,6,A,20,#20,1,,
